CID,CreditScore,Country,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Churned
634602,619,France,Female,42,2,0,1,1,1,101348.88,1
647311,608,Spain,Female,41,1,83807.86,1,0,1,112542.58,0
619304,502,France,Female,42,8,159660.8,3,1,0,113931.57,1
701354,699,France,Female,39,1,0,2,0,0,93826.63,0
737888,850,Spain,Female,43,2,125510.82,1,1,1,79084.1,0
574012,645,Spain,Male,44,8,113755.78,2,1,0,149756.71,1
592531,822,France,Male,50,7,0,2,1,1,10062.8,0
656148,376,Germany,Female,29,4,115046.74,4,1,0,119346.88,1
792365,501,France,Male,44,4,142051.07,2,0,1,74940.5,0
592389,684,France,Male,27,2,134603.88,1,1,1,71725.73,0
767821,528,France,Male,31,6,102016.72,2,0,0,80181.12,0
737173,497,Spain,Male,24,3,0,2,1,0,76390.01,0
632264,476,France,Female,34,10,0,2,1,0,26260.98,0
691483,549,France,Female,25,5,0,2,0,0,190857.79,0
600882,635,Spain,Female,35,7,0,2,1,1,65951.65,0
643966,616,Germany,Male,45,3,143129.41,2,0,1,64327.26,0
737452,653,Germany,Male,58,1,132602.88,1,1,0,5097.67,1
788218,549,Spain,Female,24,9,0,2,1,1,14406.41,0
661507,587,Spain,Male,45,6,0,1,0,0,158684.81,0
568982,726,France,Female,24,6,0,2,1,1,54724.03,0
577657,732,France,Male,41,8,0,2,1,1,170886.17,0
597945,636,Spain,Female,32,8,0,2,1,0,138555.46,0
699309,510,Spain,Female,38,4,0,1,1,0,118913.53,1
725737,669,France,Male,46,3,0,2,0,1,8487.75,0
625047,846,France,Female,38,5,0,1,1,1,187616.16,0
738191,577,France,Male,25,3,0,2,0,1,124508.29,0
736816,756,Germany,Male,36,2,136815.64,1,1,1,170041.95,0
700772,571,France,Male,44,9,0,2,0,0,38433.35,0
728693,574,Germany,Female,43,3,141349.43,1,1,1,100187.43,0
656300,411,France,Male,29,0,59697.17,2,1,1,53483.21,0
589475,591,Spain,Female,39,3,0,3,1,0,140469.38,1
706552,533,France,Male,36,7,85311.7,1,0,1,156731.91,0
750181,553,Germany,Male,41,9,110112.54,2,0,0,81898.81,0
659428,520,Spain,Female,42,6,0,2,1,1,34410.55,0
732963,722,Spain,Female,29,9,0,2,1,1,142033.07,0
794171,475,France,Female,45,0,134264.04,1,1,0,27822.99,1
788448,490,Spain,Male,31,3,145260.23,1,0,1,114066.77,0
729599,804,Spain,Male,33,7,76548.6,1,0,1,98453.45,0
717426,850,France,Male,36,7,0,1,1,1,40812.9,0
585768,582,Germany,Male,41,6,70349.48,2,0,1,178074.04,0
619360,472,Spain,Male,40,4,0,1,1,0,70154.22,0
738148,465,France,Female,51,8,122522.32,1,0,0,181297.65,1
687946,556,France,Female,61,2,117419.35,1,1,1,94153.83,0
755196,834,France,Female,49,2,131394.56,1,0,0,194365.76,1
684171,660,Spain,Female,61,5,155931.11,1,1,1,158338.39,0
754849,776,Germany,Female,32,4,109421.13,2,1,1,126517.46,0
602280,829,Germany,Female,27,9,112045.67,1,1,1,119708.21,1
771573,637,Germany,Female,39,9,137843.8,1,1,1,117622.8,1
766205,550,Germany,Male,38,2,103391.38,1,0,1,90878.13,0
771873,776,Germany,Female,37,2,103769.22,2,1,0,194099.12,0
616550,698,Germany,Male,44,10,116363.37,2,1,0,198059.16,0
768193,585,Germany,Male,36,5,146050.97,2,0,0,86424.57,0
683553,788,France,Female,33,5,0,2,0,0,116978.19,0
702298,655,Germany,Male,41,8,125561.97,1,0,0,164040.94,1
569590,601,Germany,Male,42,1,98495.72,1,1,0,40014.76,1
760861,619,France,Male,43,1,125211.92,1,1,1,113410.49,0
630053,656,France,Male,45,5,127864.4,1,1,0,87107.57,0
647091,725,Germany,Male,19,0,75888.2,1,0,0,45613.75,0
623944,511,Spain,Female,66,4,0,1,1,0,1643.11,1
804771,614,France,Male,51,4,40685.92,1,1,1,46775.28,0
651280,742,Germany,Male,35,5,136857,1,0,0,84509.57,0
773469,687,Germany,Female,27,9,152328.88,2,0,0,126494.82,0
702014,555,Spain,Male,33,1,56084.69,2,0,0,178798.13,0
751208,684,Spain,Male,56,8,78707.16,1,1,1,99398.36,0
592461,603,Germany,Male,26,4,109166.37,1,1,1,92840.67,0
789484,751,Germany,Female,36,6,169831.46,2,1,1,27758.36,0
696061,581,Germany,Female,34,1,101633.04,1,1,0,110431.51,0
641582,735,Germany,Male,43,10,123180.01,2,1,1,196673.28,0
