Customer No,Customer Nationality,Customer Age,Account Opening Date,DC Spends,SALARY_FLAG,DR_FLAG,Bill Payment,CC Spends,Monthly Average Balance
353446,INDIA,67,17/08/2017,Active,No Salary,No DR,No Bill,No CC,1820.582258
99061,PHILIPPINES,71,13/11/2020,Inactive,Salary with Bank,No DR,Active Bill,No CC,94.0283871
344207,GREECE,56,8/11/2018,Inactive,No Salary,Inactive DR,Inactive Bill,Inactive CC,5020.71
496773,GHANA,40,16/07/2019,Active,Salary with Bank,Active DR,No Bill,Active CC,0
39530,PHILIPPINES,57,25/11/2017,Active,No Salary,Inactive DR,Active Bill,No CC,196.2148387
68441,PHILIPPINES,32,29/09/2017,No Spends,No Salary,No DR,Active Bill,Active CC,0
436577,INDIA,21,28/07/2020,Active,Salary with Bank,No DR,Inactive Bill,Inactive CC,11.91612903
55654,PHILIPPINES,77,20/07/2019,No Spends,Salary with Bank,No DR,Active Bill,Inactive CC,0
264081,INDIA,59,26/10/2017,Active,Salary with Bank,No DR,Inactive Bill,No CC,2983.473871
29391,INDIA,36,4/02/2021,No Spends,Salary with Bank,Inactive DR,No Bill,No CC,2.55
451809,INDIA,61,19/04/2021,Inactive,No Salary,No DR,Active Bill,No CC,0
317557,PHILIPPINES,40,28/06/2020,No Spends,Salary with Bank,Inactive DR,Inactive Bill,Inactive CC,8808.169355
209206,PHILIPPINES,75,30/06/2021,Active,No Salary,No DR,Active Bill,Inactive CC,2.44
412911,SRI LANKA,75,16/08/2017,No Spends,Salary with Other Bank,Inactive DR,Active Bill,Inactive CC,16393.3929
293946,INDIA,72,13/09/2021,Inactive,Salary with Other Bank,Active DR,Inactive Bill,No CC,0
3385,INDIA,53,11/06/2021,No Spends,Salary with Other Bank,Inactive DR,Active Bill,Active CC,4690.892581
219231,SRI LANKA,21,27/12/2020,No Spends,Salary with Other Bank,No DR,Inactive Bill,Active CC,4655.13871
174076,PHILIPPINES,40,23/12/2017,Active,No Salary,No DR,Inactive Bill,Inactive CC,300.3367742
90579,INDIA,39,14/11/2021,Inactive,Salary with Bank,Inactive DR,Inactive Bill,No CC,44.29129032
296112,INDIA,23,17/02/2020,Inactive,Salary with Bank,No DR,No Bill,Inactive CC,0
456405,INDIA,57,21/06/2019,Active,No Salary,No DR,No Bill,Active CC,23.08193548
368152,INDIA,32,18/05/2019,Inactive,Salary with Bank,Active DR,No Bill,No CC,1386.592581
432315,LEBANON,68,25/04/2021,Inactive,Salary with Bank,Inactive DR,No Bill,Active CC,0
342997,PAKISTAN,70,17/06/2020,Inactive,Salary with Bank,Inactive DR,Inactive Bill,No CC,18.76903226
335812,INDIA,43,12/08/2018,No Spends,Salary with Bank,Inactive DR,No Bill,Inactive CC,0
291562,INDIA,65,30/12/2018,Inactive,Salary with Bank,Inactive DR,Active Bill,Inactive CC,398.2722581
163302,NEPAL,75,2/10/2019,No Spends,Salary with Bank,No DR,Active Bill,Inactive CC,0.430322581
231001,BANGLADESH,63,7/01/2021,Active,Salary with Bank,Inactive DR,No Bill,Active CC,0
397814,PHILIPPINES,71,26/02/2018,Inactive,Salary with Other Bank,Inactive DR,No Bill,No CC,-0.17
494195,NEPAL,40,22/12/2021,Active,Salary with Other Bank,Inactive DR,No Bill,No CC,0
416582,PHILIPPINES,46,2/03/2021,No Spends,Salary with Bank,Active DR,Active Bill,Active CC,0
371041,SRI LANKA,51,23/08/2019,Active,No Salary,No DR,Inactive Bill,Active CC,2882.623548
397059,INDIA,34,7/07/2017,Active,Salary with Other Bank,No DR,No Bill,Active CC,213.3658065
60113,SUDAN,51,30/04/2018,Inactive,Salary with Bank,Active DR,No Bill,Active CC,3767.435806
299472,UNITED ARAB EMIRATES,71,25/07/2017,Inactive,Salary with Bank,No DR,No Bill,Active CC,0
74318,SUDAN,30,19/09/2021,No Spends,No Salary,Inactive DR,Inactive Bill,Inactive CC,0.725806452
184983,PHILIPPINES,60,20/01/2022,Inactive,Salary with Bank,Inactive DR,Inactive Bill,No CC,-27.5
48332,PAKISTAN,77,13/08/2018,Active,Salary with Bank,No DR,No Bill,Inactive CC,0
81225,UNITED ARAB EMIRATES,46,6/09/2017,No Spends,No Salary,Inactive DR,No Bill,Inactive CC,0.9
453253,INDIA,28,25/05/2017,No Spends,No Salary,No DR,Inactive Bill,Active CC,9341.599677
312990,PHILIPPINES,65,12/10/2020,Active,No Salary,Active DR,Inactive Bill,Active CC,429.6745161
354842,PHILIPPINES,67,8/05/2020,Active,No Salary,Inactive DR,Active Bill,Active CC,38.99741935
82681,PAKISTAN,52,7/06/2017,Inactive,No Salary,No DR,No Bill,No CC,0
134426,PHILIPPINES,72,9/04/2021,No Spends,Salary with Bank,No DR,No Bill,No CC,0
327464,INDIA,69,29/03/2018,Inactive,No Salary,Active DR,Active Bill,Inactive CC,13298.23387
452829,PHILIPPINES,74,1/06/2019,Active,Salary with Bank,Inactive DR,No Bill,No CC,0
473882,INDIA,63,9/01/2019,Active,No Salary,Active DR,No Bill,Inactive CC,568.1354839
27111,PHILIPPINES,22,22/09/2018,Active,Salary with Bank,No DR,Inactive Bill,Inactive CC,15.93
417583,UNITED ARAB EMIRATES,68,15/02/2021,Inactive,Salary with Bank,Active DR,Active Bill,No CC,3.5
137934,INDIA,34,26/08/2019,Inactive,Salary with Bank,No DR,Active Bill,No CC,14566.29871
25801,INDIA,72,10/06/2020,No Spends,No Salary,Active DR,Inactive Bill,Inactive CC,2880.143226
380815,PHILIPPINES,64,15/03/2022,Active,No Salary,Active DR,Active Bill,No CC,0
258721,INDIA,68,8/04/2017,Inactive,No Salary,No DR,Inactive Bill,Inactive CC,0
161576,INDIA,43,15/09/2021,Active,Salary with Other Bank,No DR,Inactive Bill,Inactive CC,2312.226774
147101,ZIMBABWE,25,1/10/2018,No Spends,No Salary,Inactive DR,Active Bill,Inactive CC,276.2690323
23601,UNITED ARAB EMIRATES,23,7/04/2019,Inactive,No Salary,Active DR,Inactive Bill,Active CC,21.94
198538,SOUTH AFRICA,52,27/08/2017,Inactive,Salary with Bank,Active DR,Inactive Bill,No CC,2.520322581
318242,LEBANON,23,24/05/2021,No Spends,No Salary,Active DR,No Bill,Active CC,20547.04484
157090,PAKISTAN,76,8/11/2021,No Spends,Salary with Other Bank,Inactive DR,Inactive Bill,No CC,22602.35258
476263,INDIA,65,16/02/2019,Inactive,Salary with Other Bank,Inactive DR,Inactive Bill,No CC,372334.5035
272963,PAKISTAN,42,28/09/2019,No Spends,No Salary,No DR,Active Bill,Inactive CC,2141.246452
385538,INDIA,70,4/01/2020,No Spends,No Salary,Inactive DR,No Bill,No CC,2621.632581
168849,PHILIPPINES,48,4/10/2017,No Spends,Salary with Other Bank,No DR,Inactive Bill,Active CC,0
149567,INDIA,51,24/03/2017,Inactive,Salary with Other Bank,Active DR,Inactive Bill,Inactive CC,0.5
215939,INDIA,59,19/08/2020,Inactive,Salary with Other Bank,Inactive DR,Inactive Bill,Inactive CC,0
4241,PHILIPPINES,65,26/07/2017,Active,Salary with Other Bank,No DR,Inactive Bill,Inactive CC,1683.273226
270655,UNITED ARAB EMIRATES,25,27/10/2021,Active,Salary with Bank,Active DR,No Bill,Inactive CC,1.99
89501,PHILIPPINES,55,27/02/2017,Inactive,Salary with Other Bank,Inactive DR,Active Bill,No CC,4.857419355
190425,INDIA,59,19/10/2020,Active,Salary with Other Bank,Active DR,Active Bill,Active CC,892.86
131571,INDIA,63,1/02/2020,Inactive,Salary with Other Bank,Inactive DR,Inactive Bill,Active CC,860.386129
22129,LATVIA,73,15/07/2017,Active,Salary with Other Bank,No DR,Active Bill,No CC,280.17
84818,PAKISTAN,43,4/11/2019,Active,Salary with Bank,Active DR,No Bill,No CC,0
